,Case_Number,Case_NumberAlt,Reported_Date,Occurred_Date,NIBRS_Crime_Against,Offense_Category,Offense,Problem_Initial,Problem_Final,Address,Precinct,Neighborhood,Latitude,Longitude,Date_Occurred,Time_Occurred,Date_Reported,Time_Reported
81972,20-187369,MP2020187369,2020-07-17 21:17:00+00:00,2020-07-17 20:35:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng In Progress (P),Burglary Dwlng In Progress (P),0038XX LONGFELLOW AVE,3.0,Standish,44.93321,-93.24607,2020-07-17,20:35:00,2020-07-17,21:17:00
82044,19-081066,MP201981066,2019-03-22 12:27:00+00:00,2019-03-18 23:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0036XX 19TH AVE S,3.0,Standish,44.93682,-93.24481,2019-03-18,23:00:00,2019-03-22,12:27:00
82057,19-306148,MP2019306148,2019-10-09 09:33:00+00:00,2019-10-08 16:30:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0038XX 25TH AVE S,3.0,Standish,44.93321,-93.23592,2019-10-08,16:30:00,2019-10-09,09:33:00
82286,21-225321,MP2021225321,2021-10-01 13:41:00+00:00,2021-09-17 15:00:00+00:00,Property ,Fraud Offenses ,Credit Card/Automated Teller Machine Fraud ,Theft - Report Only (P),Theft - Report Only (P),0032XX 37TH ST E,3.0,Standish,44.93595,-93.22609,2021-09-17,15:00:00,2021-10-01,13:41:00
82310,20-080486,MP202080486,2020-03-27 08:21:00+00:00,2020-03-27 07:00:00+00:00,Society ,Weapon Law Violations ,Weapon Law Violations ,Recover Property (P),Recover Property (P),0019XX 37TH ST E,3.0,Standish,44.93592,-93.24418,2020-03-27,07:00:00,2020-03-27,08:21:00
82327,22-700883,MP2022700883,2022-01-27 16:00:00+00:00,2022-01-26 22:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2022-01-26,22:00:00,2022-01-27,16:00:00
82362,21-237400,MP2021237400,2021-10-15 03:04:00+00:00,2021-10-15 01:49:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng In Progress (P),Burglary Dwlng In Progress (P),0042XX 20TH AVE S,3.0,Standish,44.92602,-93.24352,2021-10-15,01:49:00,2021-10-15,03:04:00
82414,19-703447,MP2019703447,2019-06-19 11:39:00+00:00,2019-06-14 15:00:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-06-14,15:00:00,2019-06-19,11:39:00
82465,20-038838,MP202038838,2020-02-12 10:45:00+00:00,2020-02-12 10:45:00+00:00,Society ,Drug/Narcotic Offenses ,Drug/Narcotic Violations ,High Risk Warrant Entry (P),High Risk Warrant Entry (P),0041XX 26TH AVE S,3.0,Standish,44.9278,-93.23466,2020-02-12,10:45:00,2020-02-12,10:45:00
82571,22-073597,MP202273597,2022-04-09 03:27:00+00:00,2022-04-09 02:15:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Poss Personal Injury Acc (P),Auto Theft in Progress (P),0040XX 23RD AVE S,3.0,Standish,44.92961,-93.23846,2022-04-09,02:15:00,2022-04-09,03:27:00
